id,next_turn_uid,p1_uid,p2_uid,time_last_move,chosen_arm,trial,game,reward,next_game_bool,completion_code,p1_score,p1_is_observable,p1_scores_strs,p2_score,p2_is_observable,p2_scores_strs,score,scores_strs,experimental_condition
17,34,35,34,2018-01-05 13:47:14.244208,1,2,1,0,f,,0,t,[],0,f,[],0,[],partial
11,23,23,22,2018-01-05 13:20:38.024857,-1,1,1,,,,0,,[],0,,[],0,[],partial
20,41,42,41,2018-01-05 14:15:44.973857,2,2,1,1,f,,1,t,[],0,f,[],1,[],partial
13,25,28,25,2018-01-05 13:58:30.416894,2,41,10,0,f,ihHL2Ebz,11,t,"[11, 25, 22, 29, 28, 27, 18, 12, 13, 11]",5,f,"[4, 7, 8, 12, 2, 7, 7, 4, 5, 5]",11,"[11, 25, 22, 29, 28, 27, 18, 12, 13, 11]",partial
14,27,27,29,2018-01-05 13:59:30.684549,3,15,2,1,f,,3,t,[15],0,f,[6],3,[15],partial
18,36,36,37,2018-01-05 14:03:33.506759,4,17,5,0,f,,14,t,"[28, 21, 29, 26]",1,f,"[11, 7, 10, 7]",14,"[28, 21, 29, 26]",partial
19,40,40,39,2018-01-05 14:21:30.151354,3,41,10,1,f,9sn4vO1z,28,t,"[13, 22, 28, 18, 35, 25, 34, 28, 17, 28]",7,f,"[4, 7, 8, 7, 6, 7, 9, 9, 7, 7]",28,"[13, 22, 28, 18, 35, 25, 34, 28, 17, 28]",partial
21,44,44,45,2018-01-05 14:56:34.536181,3,41,10,1,f,jP2WAByz,18,t,"[26, 32, 35, 28, 27, 31, 25, 19, 19, 18]",3,f,"[11, 11, 13, 9, 6, 9, 6, 8, 9, 3]",18,"[26, 32, 35, 28, 27, 31, 25, 19, 19, 18]",partial
15,30,30,31,2018-01-05 13:54:53.611238,3,41,10,1,f,k8SFZQIs,20,t,"[31, 24, 33, 19, 29, 28, 31, 27, 26, 20]",8,f,"[13, 9, 10, 7, 5, 9, 5, 10, 11, 8]",20,"[31, 24, 33, 19, 29, 28, 31, 27, 26, 20]",partial
7,16,10,16,2018-01-05 13:13:32.191525,2,26,1,0,f,,9,t,[],2,t,[],9,[],partial
9,15,15,19,2018-01-05 13:22:03.466139,3,36,1,1,f,,21,t,[23],8,f,[7],21,[23],partial
8,18,18,17,2018-01-05 13:25:08.504131,2,41,10,1,f,DfNA5Alz,28,t,"[21, 23, 27, 26, 32, 24, 27, 23, 22, 28]",11,f,"[10, 8, 9, 10, 8, 9, 9, 11, 8, 11]",28,"[21, 23, 27, 26, 32, 24, 27, 23, 22, 28]",partial
16,33,32,33,2018-01-05 13:41:12.175025,4,18,3,1,f,,16,t,"[34, 28]",4,f,"[13, 8]",16,"[34, 28]",partial
5,12,12,13,2018-01-05 13:26:52.826359,3,41,10,0,f,DopIvsrz,19,t,"[21, 14, 28, 21, 31, 23, 22, 29, 21, 19]",6,f,"[6, 4, 11, 9, 4, 9, 6, 11, 12, 6]",19,"[21, 14, 28, 21, 31, 23, 22, 29, 21, 19]",partial
