id,amt_id,room_id,is_ready,last_active,timeout
38,AL6TUFYAMT6U4,0,f,,f
35,A1EY7WONSYGBVY,17,f,2018-01-05 13:47:01.890822,f
7,A2UHMLMFCP9J72,3,f,2018-01-05 13:08:39.102922,f
41,A2JCHN90PRUWDH,20,f,2018-01-05 14:15:36.277471,t
14,A273DS7TQWR9M1,6,f,2018-01-05 13:10:26.359039,t
40,A330N7LVL2IOVZ,19,f,2018-01-05 14:05:54.166772,t
1,testing,0,t,2018-01-05 13:02:13.665765,f
28,A3SD02HCW68EUL,13,f,2018-01-05 13:25:49.864135,t
11,A7T06JMP6BTDS,4,f,2018-01-05 13:08:46.857572,t
26,ABL3H3O3BI8ZD,12,f,2018-01-05 13:24:39.543769,f
8,AU2NVT51E749C,4,f,2018-01-05 13:08:46.920414,f
9,A22SH59U87AELT,3,f,2018-01-05 13:08:38.738383,t
21,AFZKP8TAXAUCR,10,f,2018-01-05 13:15:10.708423,f
12,A2TI9570VNOR8V,5,f,2018-01-05 13:09:33.105362,t
37,ALKVJ5LD9ANQ4,18,f,2018-01-05 13:48:52.473848,t
18,A1UM1PRML2NIZK,8,f,2018-01-05 13:11:51.713527,t
17,A1HZXKVQSWNKRA,8,f,2018-01-05 13:11:52.614264,f
13,A3P5WIW36V70AI,5,f,2018-01-05 13:09:34.501403,f
6,A2A0M30DSA7ZN,6,f,2018-01-05 13:10:25.484495,t
20,A33M7EZ72P8TWF,10,f,2018-01-05 13:15:11.008548,t
5,ANVAFB99K5RKP,1,f,2018-01-05 13:07:45.200688,t
32,A24F1UPER626KR,16,f,2018-01-05 13:38:10.687858,f
44,A38OPVI04AH4JG,21,f,2018-01-05 14:41:55.152297,t
25,A1A73A5Z4SDW06,13,f,2018-01-05 13:25:50.651207,t
33,A3DAJROQC1BLNI,16,f,2018-01-05 13:38:11.256913,t
2,A2HSCKH5NKN5LP,1,f,2018-01-05 13:07:45.750336,f
22,A3EZ0H07TSDAPW,11,f,2018-01-05 13:20:38.459021,f
23,A321YWMP74ULKH,11,f,2018-01-05 13:20:38.007899,t
4,A3GEHH49HNJM57,2,f,2018-01-05 13:07:58.003641,f
27,A321YWMP74ULKH,14,f,2018-01-05 13:29:31.935757,t
3,A26Y58YECZUZZG,2,f,2018-01-05 13:07:58.303405,t
45,A1ROKI5TP0V6OW,21,f,2018-01-05 14:41:56.190181,f
19,A3K4MDM191NKF6,9,f,2018-01-05 13:13:33.279024,f
16,AVZOC3OGBQRX2,7,f,2018-01-05 13:11:02.741076,t
10,A122UC2R9WJK0C,7,f,2018-01-05 13:11:02.576232,f
24,AJ1KIUTXPW6T1,12,f,2018-01-05 13:24:40.332194,t
15,AZZM966F90AL1,9,f,2018-01-05 13:13:33.196303,t
39,AL6TUFYAMT6U4,19,f,2018-01-05 14:05:55.054205,f
30,AE3830OQLJ6Q4,15,f,2018-01-05 13:32:58.045733,t
31,A33M7EZ72P8TWF,15,f,2018-01-05 13:32:58.800392,t
36,A3DAJROQC1BLNI,18,f,2018-01-05 13:48:51.512464,t
42,AZDRKFTM4LARP,20,f,2018-01-05 14:15:35.384368,f
29,AL6TUFYAMT6U4,14,f,2018-01-05 13:29:32.730499,t
34,ALKVJ5LD9ANQ4,17,f,2018-01-05 13:47:02.088113,t
43,A2JCHN90PRUWDH,0,t,2018-01-05 14:31:11.536218,f
47,A12723JDRPT207,24,f,2018-01-05 19:34:40.940407,t
52,A1M682B2WUSYJP,24,f,2018-01-05 19:34:40.132947,t
53,A8HSPSD88CUTS,27,f,2018-01-05 19:35:40.058262,f
71,A2VNK2H6USLQTK,35,f,2018-01-05 19:54:56.543849,f
59,A32TGAK321JDFF,30,f,2018-01-05 19:39:21.495352,f
69,AVXEDARJC5HLU,35,f,2018-01-05 19:54:57.025414,t
61,A23437BMZ5T1FH,30,f,2018-01-05 19:39:22.107129,f
55,A1BHR5XQ16T7LA,27,f,2018-01-05 19:35:39.925613,t
56,A2196WCNDZULFS,28,f,2018-01-05 19:36:15.793835,f
73,A32QWM7BWCSPTS,36,f,2018-01-05 20:19:26.581814,f
58,A2KSAAQBU5R0F6,26,f,2018-01-05 19:35:31.430101,t
67,A191V7PT3DQKDP,33,f,2018-01-05 19:43:45.411931,t
63,A2LMNFSF3LG9VS,31,f,2018-01-05 19:39:57.702738,t
65,A8028AFBBS29G,33,f,2018-01-05 19:43:46.200983,f
