,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,4,control,0,0,0,91
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,4,control,0,0,0,91
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,4,control,0,0,0,91
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,4,control,0,0,0,91
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,1,1,91
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,1,1,91
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,1,1,91
3,4.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,0,1,1,91
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,4,control,0,2,0,91
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,4,control,0,2,0,91
2,3.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,4,control,0,2,0,91
3,4.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,4,control,0,2,0,91
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,3,1,91
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,3,1,91
2,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,control,0,3,1,91
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,3,control,0,3,1,91
0,1.0,1.0,0.5,0.75,0.75,2,control,0,4,0,91
1,2.0,1.0,0.5,0.75,0.75,2,control,0,4,0,91
2,3.0,1.0,0.75,0.7500000000000001,0.7500000000000001,2,control,0,4,0,91
3,4.0,1.0,0.5,0.75,0.75,2,control,0,4,0,91
0,1.0,1.0,0.5,0.75,0.75,3,control,0,5,1,91
1,2.0,1.0,0.3333333333333333,0.75,0.75,3,control,0,5,1,91
2,3.0,1.0,0.75,0.7500000000000001,0.7500000000000001,3,control,0,5,1,91
3,4.0,1.0,0.5,0.75,0.75,3,control,0,5,1,91
0,1.0,1.0,0.5,0.8,0.8,3,control,0,6,0,91
1,2.0,1.0,0.3333333333333333,0.8,0.8,3,control,0,6,0,91
2,3.0,1.0,0.8,0.8,0.8,3,control,0,6,0,91
3,4.0,1.0,0.5,0.8,0.8,3,control,0,6,0,91
0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,3,control,0,7,1,91
1,2.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,3,control,0,7,1,91
2,3.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,control,0,7,1,91
3,4.0,1.0,0.5,0.8333333333333334,0.8333333333333334,3,control,0,7,1,91
0,1.0,1.0,0.5,0.8571428571428571,0.8571428571428571,3,control,0,8,0,91
1,2.0,1.0,0.3333333333333333,0.8571428571428571,0.8571428571428571,3,control,0,8,0,91
2,3.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,control,0,8,0,91
3,4.0,1.0,0.5,0.8571428571428571,0.8571428571428571,3,control,0,8,0,91
0,1.0,1.0,0.5,0.875,0.875,3,control,0,9,1,91
1,2.0,1.0,0.3333333333333333,0.8749999999999999,0.8749999999999999,3,control,0,9,1,91
2,3.0,1.0,0.875,0.8749999999999999,0.8749999999999999,3,control,0,9,1,91
3,4.0,1.0,0.5,0.875,0.875,3,control,0,9,1,91
0,1.0,1.0,0.5,0.8888888888888888,0.8888888888888888,3,control,0,10,0,91
1,2.0,1.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,3,control,0,10,0,91
2,3.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,3,control,0,10,0,91
3,4.0,1.0,0.5,0.8888888888888888,0.8888888888888888,3,control,0,10,0,91
0,1.0,1.0,0.5,0.9,0.9,3,control,0,11,1,91
1,2.0,1.0,0.3333333333333333,0.8999999999999999,0.8999999999999999,3,control,0,11,1,91
2,3.0,1.0,0.9,0.8999999999999999,0.8999999999999999,3,control,0,11,1,91
3,4.0,1.0,0.5,0.9,0.9,3,control,0,11,1,91
0,1.0,1.0,0.5,0.9090909090909091,0.9090909090909091,3,control,0,12,0,91
1,2.0,1.0,0.3333333333333333,0.909090909090909,0.909090909090909,3,control,0,12,0,91
2,3.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,3,control,0,12,0,91
3,4.0,1.0,0.5,0.9090909090909091,0.9090909090909091,3,control,0,12,0,91
0,1.0,1.0,0.5,0.9166666666666666,0.9166666666666666,3,control,0,13,1,91
1,2.0,1.0,0.3333333333333333,0.9166666666666665,0.9166666666666665,3,control,0,13,1,91
2,3.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,3,control,0,13,1,91
3,4.0,1.0,0.5,0.9166666666666666,0.9166666666666666,3,control,0,13,1,91
0,1.0,1.0,0.5,0.9230769230769231,0.9230769230769231,3,control,0,14,0,91
1,2.0,1.0,0.3333333333333333,0.9230769230769231,0.9230769230769231,3,control,0,14,0,91
2,3.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,3,control,0,14,0,91
