,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
0,1.0,1.0,0.875,0.875,0.875,1,control,1,39,1,82
1,2.0,1.0,0.4444444444444444,0.875,0.875,1,control,1,39,1,82
2,3.0,1.0,0.375,0.875,0.875,1,control,1,39,1,82
3,4.0,1.0,0.16666666666666666,0.875,0.875,1,control,1,39,1,82
0,1.0,1.0,0.5,0.7692307692307693,0.7692307692307693,2,control,6,39,1,82
1,2.0,1.0,0.7692307692307693,0.7692307692307694,0.7692307692307694,2,control,6,39,1,82
2,3.0,1.0,0.3333333333333333,0.7692307692307692,0.7692307692307692,2,control,6,39,1,82
3,4.0,1.0,0.42857142857142855,0.7692307692307692,0.7692307692307692,2,control,6,39,1,82
0,1.0,1.0,0.16666666666666666,0.6111111111111112,0.6111111111111112,3,control,0,39,1,82
1,2.0,1.0,0.36363636363636365,0.6111111111111112,0.6111111111111112,3,control,0,39,1,82
2,3.0,1.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,3,control,0,39,1,82
3,4.0,1.0,0.5,0.6111111111111112,0.6111111111111112,3,control,0,39,1,82
0,1.0,1.0,0.3333333333333333,0.8928571428571428,0.8928571428571428,2,control,2,39,1,82
1,2.0,1.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,2,control,2,39,1,82
2,3.0,1.0,0.5,0.8928571428571429,0.8928571428571429,2,control,2,39,1,82
3,4.0,1.0,0.625,0.8928571428571429,0.8928571428571429,2,control,2,39,1,82
0,1.0,1.0,0.8,0.8,0.8,1,control,3,39,1,82
1,2.0,1.0,0.25,0.8,0.8,1,control,3,39,1,82
2,3.0,1.0,0.5333333333333333,0.8,0.8,1,control,3,39,1,82
3,4.0,1.0,0.25,0.8,0.8,1,control,3,39,1,82
0,1.0,1.0,0.375,0.5652173913043478,0.5652173913043478,3,control,8,39,1,82
1,2.0,1.0,0.375,0.5652173913043478,0.5652173913043478,3,control,8,39,1,82
2,3.0,1.0,0.5652173913043478,0.5652173913043479,0.5652173913043479,3,control,8,39,1,82
3,4.0,1.0,0.375,0.5652173913043478,0.5652173913043478,3,control,8,39,1,82
0,1.0,1.0,0.8636363636363636,0.8636363636363636,0.8636363636363636,1,control,5,39,1,82
1,2.0,1.0,0.6363636363636364,0.8636363636363635,0.8636363636363635,1,control,5,39,1,82
2,3.0,1.0,0.5,0.8636363636363636,0.8636363636363636,1,control,5,39,1,82
3,4.0,1.0,0.6666666666666666,0.8636363636363635,0.8636363636363635,1,control,5,39,1,82
0,1.0,1.0,0.5714285714285714,0.7931034482758621,0.7931034482758621,4,control,7,39,1,82
1,2.0,1.0,0.25,0.7931034482758621,0.7931034482758621,4,control,7,39,1,82
2,3.0,1.0,0.2857142857142857,0.7931034482758621,0.7931034482758621,4,control,7,39,1,82
3,4.0,1.0,0.7931034482758621,0.7931034482758621,0.7931034482758621,4,control,7,39,1,82
0,1.0,1.0,0.875,0.8749999999999999,0.8749999999999999,4,control,4,39,1,82
1,2.0,1.0,0.75,0.875,0.875,4,control,4,39,1,82
2,3.0,1.0,0.7777777777777778,0.875,0.875,4,control,4,39,1,82
3,4.0,1.0,0.7142857142857143,0.875,0.875,4,control,4,39,1,82
0,1.0,1.0,0.4,0.68,0.68,3,control,9,39,1,82
1,2.0,1.0,0.4166666666666667,0.6800000000000002,0.6800000000000002,3,control,9,39,1,82
2,3.0,1.0,0.68,0.68,0.68,3,control,9,39,1,82
3,4.0,1.0,0.2,0.68,0.68,3,control,9,39,1,82
