,room,game,condition,first_player,move,agreement
0,6,10,partial_asymmetric,0,0,0.25
1,6,10,partial_asymmetric,0,1,0.3333333333333333
2,6,10,partial_asymmetric,0,2,0.5
3,6,10,partial_asymmetric,0,3,0.5
4,6,10,partial_asymmetric,0,4,1.0
5,6,10,partial_asymmetric,0,5,0.0
6,6,10,partial_asymmetric,0,6,1.0
7,6,10,partial_asymmetric,0,7,0.0
8,6,10,partial_asymmetric,0,8,0.5
9,6,10,partial_asymmetric,0,9,0.0
10,6,10,partial_asymmetric,0,10,0.0
11,6,10,partial_asymmetric,0,11,1.0
12,6,10,partial_asymmetric,0,12,0.0
13,6,10,partial_asymmetric,0,13,1.0
14,6,10,partial_asymmetric,0,14,0.0
0,6,5,partial_asymmetric,1,0,0.25
1,6,5,partial_asymmetric,1,1,0.3333333333333333
2,6,5,partial_asymmetric,1,2,0.0
3,6,5,partial_asymmetric,1,3,0.0
4,6,5,partial_asymmetric,1,4,0.0
5,6,5,partial_asymmetric,1,5,1.0
6,6,5,partial_asymmetric,1,6,0.3333333333333333
7,6,5,partial_asymmetric,1,7,1.0
8,6,5,partial_asymmetric,1,8,0.0
9,6,5,partial_asymmetric,1,9,1.0
10,6,5,partial_asymmetric,1,10,0.0
11,6,5,partial_asymmetric,1,11,1.0
12,6,5,partial_asymmetric,1,12,0.0
13,6,5,partial_asymmetric,1,13,0.5
14,6,5,partial_asymmetric,1,14,1.0
0,6,3,partial_asymmetric,1,0,0.25
1,6,3,partial_asymmetric,1,1,1.0
2,6,3,partial_asymmetric,1,2,0.3333333333333333
3,6,3,partial_asymmetric,1,3,0.5
4,6,3,partial_asymmetric,1,4,0.0
5,6,3,partial_asymmetric,1,5,1.0
6,6,3,partial_asymmetric,1,6,0.0
7,6,3,partial_asymmetric,1,7,0.0
8,6,3,partial_asymmetric,1,8,1.0
9,6,3,partial_asymmetric,1,9,1.0
10,6,3,partial_asymmetric,1,10,1.0
11,6,3,partial_asymmetric,1,11,1.0
12,6,3,partial_asymmetric,1,12,1.0
