,room,game,condition,first_player,move,agreement
0,17,0,control,0,0,0.25
1,17,0,control,0,1,0.0
2,17,0,control,0,2,0.5
3,17,0,control,0,3,0.0
4,17,0,control,0,4,0.0
5,17,0,control,0,5,0.0
6,17,0,control,0,6,0.0
7,17,0,control,0,7,1.0
8,17,0,control,0,8,1.0
9,17,0,control,0,9,1.0
10,17,0,control,0,10,0.5
11,17,0,control,0,11,1.0
12,17,0,control,0,12,0.5
13,17,0,control,0,13,0.0
14,17,0,control,0,14,0.0
0,17,1,control,1,0,0.25
1,17,1,control,1,1,1.0
2,17,1,control,1,2,1.0
3,17,1,control,1,3,0.0
4,17,1,control,1,4,1.0
5,17,1,control,1,5,0.0
6,17,1,control,1,6,1.0
7,17,1,control,1,7,0.0
8,17,1,control,1,8,1.0
9,17,1,control,1,9,1.0
10,17,1,control,1,10,0.0
11,17,1,control,1,11,0.3333333333333333
12,17,1,control,1,12,0.0
13,17,1,control,1,13,0.0
14,17,1,control,1,14,0.0
0,17,2,control,0,0,0.25
1,17,2,control,0,1,0.0
2,17,2,control,0,2,0.3333333333333333
3,17,2,control,0,3,0.0
4,17,2,control,0,4,0.0
5,17,2,control,0,5,0.0
6,17,2,control,0,6,0.0
7,17,2,control,0,7,0.3333333333333333
8,17,2,control,0,8,0.0
9,17,2,control,0,9,1.0
10,17,2,control,0,10,0.0
11,17,2,control,0,11,1.0
12,17,2,control,0,12,1.0
13,17,2,control,0,13,0.0
14,17,2,control,0,14,0.0
0,17,3,control,1,0,0.25
1,17,3,control,1,1,1.0
2,17,3,control,1,2,1.0
3,17,3,control,1,3,0.3333333333333333
4,17,3,control,1,4,0.5
5,17,3,control,1,5,0.0
6,17,3,control,1,6,1.0
7,17,3,control,1,7,0.0
8,17,3,control,1,8,0.0
9,17,3,control,1,9,0.5
10,17,3,control,1,10,1.0
11,17,3,control,1,11,0.0
12,17,3,control,1,12,1.0
13,17,3,control,1,13,1.0
14,17,3,control,1,14,1.0
0,17,4,control,0,0,0.25
1,17,4,control,0,1,1.0
2,17,4,control,0,2,0.3333333333333333
3,17,4,control,0,3,1.0
4,17,4,control,0,4,0.0
5,17,4,control,0,5,1.0
6,17,4,control,0,6,1.0
7,17,4,control,0,7,1.0
8,17,4,control,0,8,0.0
9,17,4,control,0,9,1.0
10,17,4,control,0,10,1.0
11,17,4,control,0,11,1.0
12,17,4,control,0,12,0.0
13,17,4,control,0,13,1.0
14,17,4,control,0,14,1.0
0,17,5,control,1,0,0.25
1,17,5,control,1,1,0.0
2,17,5,control,1,2,0.5
3,17,5,control,1,3,1.0
4,17,5,control,1,4,0.0
5,17,5,control,1,5,1.0
6,17,5,control,1,6,1.0
7,17,5,control,1,7,1.0
8,17,5,control,1,8,1.0
9,17,5,control,1,9,0.0
10,17,5,control,1,10,0.0
11,17,5,control,1,11,0.0
12,17,5,control,1,12,0.0
13,17,5,control,1,13,0.0
14,17,5,control,1,14,0.0
0,17,6,control,0,0,0.25
1,17,6,control,0,1,0.0
2,17,6,control,0,2,0.0
3,17,6,control,0,3,0.3333333333333333
4,17,6,control,0,4,0.0
5,17,6,control,0,5,0.0
