,arm,p,reward,exploit0,exploit1,room,game,move,condition,player,chosen_arm
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,0,0,control,0,4
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,0,0,control,0,4
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,0,0,control,0,4
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,0,0,control,0,4
0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,0,1,control,1,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,0,1,control,1,1
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,0,1,control,1,1
3,4.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,0,1,control,1,1
0,1.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,0,2,control,0,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,0,2,control,0,1
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,0,2,control,0,1
3,4.0,1.0,0.6666666666666666,0.7222222222222222,0.7222222222222222,17,0,2,control,0,1
0,1.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,0,3,control,1,2
1,2.0,1.0,0.5,0.75,0.75,17,0,3,control,1,2
2,3.0,1.0,0.5,0.75,0.75,17,0,3,control,1,2
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,0,3,control,1,2
0,1.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,0,4,control,0,2
1,2.0,1.0,0.3333333333333333,0.75,0.75,17,0,4,control,0,2
2,3.0,1.0,0.5,0.75,0.75,17,0,4,control,0,2
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,0,4,control,0,2
0,1.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,0,5,control,1,3
1,2.0,1.0,0.25,0.75,0.75,17,0,5,control,1,3
2,3.0,1.0,0.5,0.75,0.75,17,0,5,control,1,3
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,0,5,control,1,3
0,1.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,0,6,control,0,3
1,2.0,1.0,0.25,0.75,0.75,17,0,6,control,0,3
2,3.0,1.0,0.3333333333333333,0.75,0.75,17,0,6,control,0,3
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,0,6,control,0,3
0,1.0,1.0,0.75,0.7666666666666667,0.7666666666666667,17,0,7,control,1,1
1,2.0,1.0,0.25,0.75,0.75,17,0,7,control,1,1
2,3.0,1.0,0.25,0.75,0.75,17,0,7,control,1,1
3,4.0,1.0,0.6666666666666666,0.75,0.75,17,0,7,control,1,1
0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,17,0,8,control,0,4
1,2.0,1.0,0.25,0.6666666666666666,0.6666666666666666,17,0,8,control,0,4
2,3.0,1.0,0.25,0.6666666666666666,0.6666666666666666,17,0,8,control,0,4
3,4.0,1.0,0.6666666666666666,0.7,0.7,17,0,8,control,0,4
0,1.0,1.0,0.6,0.75,0.75,17,0,9,control,1,4
1,2.0,1.0,0.25,0.75,0.75,17,0,9,control,1,4
2,3.0,1.0,0.25,0.75,0.75,17,0,9,control,1,4
3,4.0,1.0,0.75,0.7500000000000001,0.7500000000000001,17,0,9,control,1,4
0,1.0,1.0,0.6,0.6399999999999999,0.6399999999999999,17,0,10,control,0,4
1,2.0,1.0,0.25,0.6,0.6,17,0,10,control,0,4
2,3.0,1.0,0.25,0.6,0.6,17,0,10,control,0,4
3,4.0,1.0,0.6,0.6399999999999999,0.6399999999999999,17,0,10,control,0,4
0,1.0,1.0,0.6,0.6,0.6,17,0,11,control,1,1
1,2.0,1.0,0.25,0.6,0.6,17,0,11,control,1,1
2,3.0,1.0,0.25,0.6,0.6,17,0,11,control,1,1
3,4.0,1.0,0.5,0.6,0.6,17,0,11,control,1,1
0,1.0,1.0,0.5,0.5357142857142857,0.5357142857142857,17,0,12,control,0,4
1,2.0,1.0,0.25,0.5,0.5,17,0,12,control,0,4
2,3.0,1.0,0.25,0.5,0.5,17,0,12,control,0,4
3,4.0,1.0,0.5,0.5357142857142857,0.5357142857142857,17,0,12,control,0,4
0,1.0,1.0,0.5,0.5,0.5,17,0,13,control,1,2
1,2.0,1.0,0.25,0.5,0.5,17,0,13,control,1,2
2,3.0,1.0,0.25,0.5,0.5,17,0,13,control,1,2
3,4.0,1.0,0.42857142857142855,0.5,0.5,17,0,13,control,1,2
0,1.0,1.0,0.5,0.5,0.5,17,0,14,control,0,4
1,2.0,1.0,0.2,0.5,0.5,17,0,14,control,0,4
2,3.0,1.0,0.25,0.5,0.5,17,0,14,control,0,4
3,4.0,1.0,0.42857142857142855,0.5,0.5,17,0,14,control,0,4
0,1.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,1,0,control,1,1
1,2.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,1,0,control,1,1
2,3.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,1,0,control,1,1
3,4.0,1.0,0.5,0.5833333333333333,0.5833333333333333,17,1,0,control,1,1
0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,1,1,control,0,1
1,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,1,1,control,0,1
2,3.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,1,1,control,0,1
3,4.0,1.0,0.5,0.6666666666666666,0.6666666666666666,17,1,1,control,0,1
0,1.0,1.0,0.75,0.7500000000000001,0.7500000000000001,17,1,2,control,1,1
1,2.0,1.0,0.5,0.75,0.75,17,1,2,control,1,1
