,room,game,condition,first_player,move,agreement
0,15,15,partial,1,0,0.25
1,15,15,partial,1,1,1.0
2,15,15,partial,1,2,0.3333333333333333
3,15,15,partial,1,3,0.0
4,15,15,partial,1,4,0.0
5,15,15,partial,1,5,1.0
6,15,15,partial,1,6,0.5
7,15,15,partial,1,7,0.0
8,15,15,partial,1,8,0.0
9,15,15,partial,1,9,1.0
10,15,15,partial,1,10,0.0
11,15,15,partial,1,11,1.0
12,15,15,partial,1,12,0.0
13,15,15,partial,1,13,1.0
14,15,15,partial,1,14,1.0
0,13,18,partial,0,0,0.25
1,13,18,partial,0,1,0.0
2,13,18,partial,0,2,0.3333333333333333
3,13,18,partial,0,3,0.0
4,13,18,partial,0,4,1.0
5,13,18,partial,0,5,0.0
6,13,18,partial,0,6,1.0
7,13,18,partial,0,7,0.0
8,13,18,partial,0,8,1.0
9,13,18,partial,0,9,0.0
10,13,18,partial,0,10,1.0
11,13,18,partial,0,11,0.0
12,13,18,partial,0,12,1.0
13,13,18,partial,0,13,0.0
14,13,18,partial,0,14,1.0
0,15,3,partial,1,0,0.25
1,15,3,partial,1,1,0.3333333333333333
2,15,3,partial,1,2,0.0
3,15,3,partial,1,3,0.0
4,15,3,partial,1,4,0.5
5,15,3,partial,1,5,1.0
6,15,3,partial,1,6,0.0
7,15,3,partial,1,7,1.0
8,15,3,partial,1,8,1.0
9,15,3,partial,1,9,1.0
10,15,3,partial,1,10,0.0
11,15,3,partial,1,11,1.0
12,15,3,partial,1,12,0.0
13,15,3,partial,1,13,1.0
14,15,3,partial,1,14,0.0
0,19,1,partial,1,0,0.25
1,19,1,partial,1,1,1.0
2,19,1,partial,1,2,0.0
3,19,1,partial,1,3,0.3333333333333333
4,19,1,partial,1,4,0.0
5,19,1,partial,1,5,0.5
6,19,1,partial,1,6,0.0
7,19,1,partial,1,7,0.0
8,19,1,partial,1,8,0.0
9,19,1,partial,1,9,0.0
10,19,1,partial,1,10,0.0
11,19,1,partial,1,11,0.0
12,19,1,partial,1,12,0.0
13,19,1,partial,1,13,0.0
14,19,1,partial,1,14,0.0
0,13,11,partial,1,0,0.25
1,13,11,partial,1,1,1.0
2,13,11,partial,1,2,0.0
3,13,11,partial,1,3,0.0
4,13,11,partial,1,4,0.3333333333333333
5,13,11,partial,1,5,1.0
6,13,11,partial,1,6,0.5
7,13,11,partial,1,7,0.0
8,13,11,partial,1,8,0.0
9,13,11,partial,1,9,1.0
10,13,11,partial,1,10,0.0
11,13,11,partial,1,11,1.0
12,13,11,partial,1,12,0.0
13,13,11,partial,1,13,1.0
14,13,11,partial,1,14,0.0
0,15,8,partial,0,0,0.25
1,15,8,partial,0,1,0.3333333333333333
2,15,8,partial,0,2,1.0
3,15,8,partial,0,3,0.0
4,15,8,partial,0,4,1.0
5,15,8,partial,0,5,0.0
6,15,8,partial,0,6,0.0
7,15,8,partial,0,7,0.0
8,15,8,partial,0,8,1.0
9,15,8,partial,0,9,1.0
10,15,8,partial,0,10,0.0
11,15,8,partial,0,11,0.0
12,15,8,partial,0,12,0.0
13,15,8,partial,0,13,0.0
14,15,8,partial,0,14,1.0
0,15,2,partial,0,0,0.25
1,15,2,partial,0,1,0.3333333333333333
2,15,2,partial,0,2,1.0
3,15,2,partial,0,3,0.0
4,15,2,partial,0,4,1.0
5,15,2,partial,0,5,0.0
6,15,2,partial,0,6,0.0
7,15,2,partial,0,7,0.0
